Award Category,# Books,% Female Authors
Amplify Award,3,100.0
Lits,7,100.0
Contemporary Romance,79,98.73
Historical Romance,52,98.08
Short Form,27,92.59
Young Adult,54,85.19
Historical,67,85.07
Contemporary Series,33,84.85
Speculative,13,84.62
First Novel,75,76.0
North American Historical,12,75.0
Book of the Year,11,72.73
General Fiction,23,69.57
Contemporary,52,69.23
Suspense,35,57.14
Visionary,47,55.32
Allegory / Fantasy,6,50.0
Mystery / Suspense / Thriller,50,48.0
International Historical,12,41.67
Futuristic,15,13.33
Western,6,0.0
