Title,Author,Author Gender,1st Book,Publisher,Date of Publication,CF Publisher ,Award Category,Award Status,Award Year,Goodreads # Ratings,Goodreads Rating,Genre
Arena,Karen Hancock,Female,Yes,Bethany House Publishers,2002,Yes,Allegory / Fantasy,Winner,2003,2684,4.14,Fantasy
Dark Horse,John Fischer,Male,No,Revell / Baker Publishing Group,1983,Yes,Allegory / Fantasy,Finalist,2004,73,3.79,Christian Fiction
True to You,Becky Wade,Female,No,Bethany House Publishers,2017,Yes,Book of the Year & Contemporary Romance,Winner,2018,5693,4.14,Christian Fiction
The Edge of Belonging,Amanda Cox,Female,Yes,Revell / Baker Publishing Group,2020,Yes,Book of the Year & First Novel,Winner,2021,2880,4.44,Christian Fiction
Whose Waves These Are,Amanda Dykes,Female,Yes,Bethany House Publishers,2019,Yes,Book of the Year & First Novel & General Fiction,Winner / Finalist / Winner,2020,4335,4.36,Historical Fiction
Burning Sky,Lori Benton,Female,Yes,WaterBrook Multnomah Publishing Group,2013,Yes,Book of the Year & First Novel & Historical,Winner,2014,1758,4.31,Historical Fiction
Long Way Gone,Charles Martin,Male,No,Thomas Nelson,2016,Yes,Book of the Year & General Fiction,Finalist / Winner,2017,17981,4.36,Fiction
Within These Walls of Sorrow,Amanda Barratt,Female,No,Kregel Publications,2023,Yes,Book of the Year & Historical,Winner,2023,686,4.68,Historical Fiction
Becoming Mrs. Lewis,Patti Callahan,Female,No,Thomas Nelson,2018,Yes,Book of the Year & Historical Romance,Winner,2019,47840,4.05,Historical Fiction
Thief of Glory,Sigmund Brouwer,Male,No,WaterBrook Multnomah Publishing Group,2014,Yes,Book of the Year & Historical Romance,Winner,2015,868,4.24,Historical Fiction
The Five Times I Met Myself,James L. Rubart,Male,No,Thomas Nelson,2015,Yes,Book of the Year & Visionary,Winner,2016,1474,4.12,Christian Fiction
A Garden to Keep,Jamie Langston Turner,Female,No,Bethany House Publishers,2001,Yes,Contemporary,Winner,2002,487,4.05,Christian Fiction
Bookends,Liz Curtis Higgs,Female,No,WaterBrook Multnomah Publishing Group,2000,Yes,Contemporary,Finalist,2001,1603,3.84,Christian Fiction
Borders of the Heart,Chris Fabry,Male,No,Tyndale House Publishers,2012,Yes,Contemporary,Finalist,2013,781,3.9,Fiction
Embrace Me,Lisa Samson,Female,No,Thomas Nelson,2007,Yes,Contemporary,Finalist,2009,788,3.92,Christian Fiction
Finding Alice,Melody Carlson,Female,No,WaterBrook Multnomah Publishing Group,2003,Yes,Contemporary,Finalist,2004,2045,4.04,Fiction
In High Places,Tom Morrisey,Male,No,Bethany House Publishers,2007,Yes,Contemporary,Finalist,2008,159,3.97,Christian Fiction
No Dark Valley,Jamie Langston Turner,Female,No,Bethany House Publishers,2004,Yes,Contemporary,Finalist,2005,474,3.91,Christian Fiction
Not a Sparrow Falls,Linda Nichols,Female,No,Bethany House Publishers,2002,Yes,Contemporary,Finalist,2003,2153,4.12,Christian Fiction
Quaker Summer,Lisa Samson,Female,No,Thomas Nelson,2007,Yes,Contemporary,Finalist,2008,1223,3.72,Christian Fiction
Straight Up,Lisa Samson,Female,No,WaterBrook Multnomah Publishing Group,2006,Yes,Contemporary,Finalist,2007,245,3.67,Christian Fiction
The Air We Breathe,Christa Parrish,Female,No,Bethany House Publishers,2012,Yes,Contemporary,Finalist,2013,694,3.8,Christian Fiction
The Living End,Lisa Samson,Female,No,WaterBrook Multnomah Publishing Group,2003,Yes,Contemporary,Finalist,2004,300,3.77,Christian Fiction
Winter Birds,Jamie Langston Turner,Female,No,Bethany House Publishers,2006,Yes,Contemporary,Winner,2007,583,3.85,Fiction
All That It Takes,Nicole Deese,Female,No,Bethany House Publishers,2022,Yes,Contemporary Romance,Finalist,2023,1963,4.45,Christian Fiction
All That Really Matters,Nicole Deese,Female,No,Bethany House Publishers,2021,Yes,Contemporary Romance,Winner,2022,3427,4.4,Romance
How Sweet It Is,Alice J. Wisler,Female,No,Bethany House Publishers,2009,Yes,Contemporary Romance,Finalist,2010,647,3.66,Christian Fiction
Larkspur Cove,Lisa Wingate,Female,No,Bethany House Publishers,2010,Yes,Contemporary Romance,Finalist,2012,7427,4.01,Christian Fiction
My Foolish Heart,Susan May Warren,Female,No,Tyndale House Publishers,2011,Yes,Contemporary Romance,Finalist,2012,2539,4.24,Christian Fiction
Remembered,Tamera Alexander,Female,No,Bethany House Publishers,2007,Yes,Contemporary Romance,Winner,2008,3796,4.3,Christian Fiction
Sworn to Protect,DiAnn Mills,Female,No,Tyndale House Publishers,2010,Yes,Contemporary Romance,Winner,2011,1432,4.17,Christian Fiction
The Healer,Dee Henderson,Female,No,WaterBrook Multnomah Publishing Group,2002,Yes,Contemporary Romance,Finalist,2003,17113,4.39,Christian Fiction
The Measure of a Lady,Deeanne Gist,Female,No,Bethany House Publishers,2006,Yes,Contemporary Romance,Winner,2007,12706,3.94,Christian Fiction
True Devotion,Dee Henderson,Female,No,WaterBrook Multnomah Publishing Group,2008,Yes,Contemporary Romance,Finalist,2001,14155,4.28,Christian Fiction
Dangerous Passage,Lisa Harris,Female,No,Revell / Baker Publishing Group,2013,Yes,Contemporary Romance & Suspense,Winner,2014,4096,4.03,Mystery
Summer Snow,Nicole Baart,Female,No,Tyndale House Publishers,2008,Yes,Contemporary Series,Finalist,2009,851,3.96,Christian Fiction
The Waiting,Suzanne Woods Fisher,Female,No,Revell / Baker Publishing Group,2010,Yes,Contemporary Series,Finalist,2011,2944,4.34,Amish
You Don't Know Me,Susan May Warren,Female,No,Tyndale House Publishers,2012,Yes,Contemporary Series,Winner,2013,1693,4.3,Christian Fiction
Freedom's Ring,Heidi Chiavaroli,Female,Yes,Tyndale House Publishers,2017,Yes,First Novel,Finalist,2018,798,4.29,Historical Fiction
Irish Meadows,Susan Anne Mason,Female,No,Bethany House Publishers,2015,Yes,First Novel,Finalist,2016,2496,4,Historical Fiction
Roots of Wood and Stone,Amanda Wen,Female,Yes,Kregel Publications,2021,Yes,First Novel,Finalist,2021,774,4.44,Christian Fiction
The Mending String,Cliff Coon,Male,Yes,Moody Publishers,2004,Yes,First Novel,Winner,2005,110,3.84,Fiction
A Cast of Stones,Patrick W. Carr,Male,No,Bethany House Publishers,2013,Yes,First Novel & Visionary,Finalist,2014,5530,4.28,Fantasy
Auralia's Colors,Jeffrey Overstreet,Male,No,WaterBrook Multnomah Publishing Group,2007,Yes,First Novel & Visionary,Finalist,2008,1868,3.65,Fantasy
Apocalypse Dawn,Mel Odom,Female,No,Tyndale House Publishers,2003,Yes,Futuristic,Finalist,2004,2050,4.15,Christian Fiction
Apollyon,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,1999,Yes,Futuristic,Finalist,2000,34110,4,Christian Fiction
Armageddon,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,2003,Yes,Futuristic,Finalist,2004,21823,4.05,Christian Fiction
Assassins,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,1999,Yes,Futuristic,Finalist,2000,34017,4.01,Christian Fiction
Desecration,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,2001,Yes,Futuristic,Finalist,2002,28060,4.03,Christian Fiction
Life After,Katie Ganshert,Female,No,WaterBrook Multnomah Publishing Group,2017,Yes,General Fiction,Winner,2018,2313,4.23,Christian Fiction
The Secret Keepers of Old Depot Grocery,Amanda Cox,Female,No,Revell / Baker Publishing Group,2021,Yes,General Fiction,Winner,2022,2955,4.27,Christian Fiction
All for a Story,Allison Pittman,Female,No,Tyndale House Publishers,2013,Yes,Historical,Finalist,2014,329,3.57,Christian Fiction
Fire by Night,Lynn Austin,Female,No,Bethany House Publishers,2003,Yes,Historical,Winner,2004,9792,4.46,Historical Fiction
Madman,Tracy Groot,Female,No,Tyndale House Publishers,2006,Yes,Historical,Winner,2007,686,4.11,Christian Fiction
Memories of Glass,Melanie Dobson,Female,No,Tyndale House Publishers,2019,Yes,Historical,Finalist,2020,2933,4.14,Historical Fiction
The Medallion,Cathy Gohlke,Female,No,Tyndale House Publishers,2019,Yes,Historical,Winner,2020,1466,4.54,Historical Fiction
The Noble Fugitive,T. Davis Bunn & Isabella Bunn,Both ,No,Bethany House Publishers,2005,Yes,Historical,Finalist,2006,746,4.05,Christian Fiction
The Swiss Courier,Tricia Gover & Mike Yorkey,Both ,No,Revell / Baker Publishing Group,2009,Yes,Historical,Finalist,2010,993,3.92,Historical Fiction
The White Rose Resists,Amanda Barratt,Female,No,Kregel Publications,2020,Yes,Historical,Winner,2021,696,4.44,Historical Fiction
A Defense of Honor,Kristi Ann Hunter,Female,No,Bethany House Publishers,2018,Yes,Historical Romance,Finalist,2019,3131,4.11,Historical Fiction
A Portrait of Loyalty,Roseanna M. White,Female,No,Bethany House Publishers,2020,Yes,Historical Romance,Winner,2021,2249,4.46,Historical Fiction
Calico Canyon,Mary Connealy,Female,No,Barbour Publishing,2008,Yes,Historical Romance,Finalist,2009,2532,4.28,Christian Fiction
Harvest of Gold,Tessa Afshar,Female,No,"RiverNorth, imprint of Moody Publishing",2013,Yes,Historical Romance,Winner,2014,4531,4.39,Christian Fiction
The Rose and the Thistle,Laura Frantz,Female,No,Revell / Baker Publishing Group,2023,Yes,Historical Romance,Winner,2023,2941,4.15,Historical Fiction
The Sound of Light,Sarah Sundin,Female,No,Revell / Baker Publishing Group,2023,Yes,Historical Romance,Finalist,2023,3692,4.33,Historical Fiction
Unashamed,Francine Rivers,Female,No,Tyndale House Publishers,2000,Yes,International Historical,Winner,2001,13710,4.29,Christian Fiction
By Reason of Insanity,Randy Singer,Male,No,Tyndale House Publishers,2008,Yes,Mystery / Suspense / Thriller,Finalist,2009,2365,3.88,Fiction
By Way of Deception,Amir Tsarfati & Steve Yohn,Male,No,Harvest House Publishers,2022,Yes,Mystery / Suspense / Thriller,Finalist,2023,978,4.56,Christian Fiction
Mind Games,Nancy Mehl,Female,No,Bethany House Publishers,2018,Yes,Mystery / Suspense / Thriller,Finalist,2019,5122,4.13,Christian Fiction
The Girl Behind the Red Rope,Ted Dekker & Rachelle Dekker,Both ,No,Revell / Baker Publishing Group,2019,Yes,Mystery / Suspense / Thriller,Winner,2020,5655,3.75,Christian Fiction
The Rook,Steven James,Male,No,Revell / Baker Publishing Group,2008,Yes,Mystery / Suspense / Thriller,Winner,2009,5918,4.28,Mystery
Candle in the Darkness,Lynn Austin,Female,No,Bethany House Publishers,2002,Yes,North American Historical,Winner,2003,17455,4.32,Historical Fiction
The Meeting Place,Janette Oke & T. Davis Bunn,Both ,No,Bethany House Publishers,1999,Yes,North American Historical,Winner,2000,5888,4.12,Christian Fiction
Dark Intercept,Brian Andrews & Jeffrey Wilson,Male,No,Tyndale House Publishers,2021,Yes,Speculative,Finalist,2022,2165,4.07,Thriller
